"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Stennett T.; Kim M.; Sinha S.; Orso A.","Stennett, Tyler (58783821400); Kim, Myeongsoo (57219538205); Sinha, Saurabh (55636320325); Orso, Alessandro (6603901617)","58783821400; 57219538205; 55636320325; 6603901617","AutoRestTest: A Tool for Automated REST API Testing Using LLMs and MARL","2025","Proceedings - International Conference on Software Engineering","","","","21","24","0","10.1109/ICSE-Companion66252.2025.00015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008493507&doi=10.1109%2FICSE-Companion66252.2025.00015&partnerID=40&md5=6b424c86446186db5a71163dacbdd1aa","As REST APIs have become widespread in modern web services, comprehensive testing of these APIs is increasingly crucial. Because of the vast search space of operations, parameters, and parameter values, along with their dependencies and constraints, current testing tools often achieve low code coverage, resulting in suboptimal fault detection. To address this limitation, we present AutoRestTest, a novel tool that integrates the Semantic Property Dependency Graph (SPDG) with Multi-Agent Reinforcement Learning (MARL) and large language models (LLMs) for effective REST API testing. AutoRestTest determines operation-dependent parameters using the SPDG and employs five specialized agents (operation, parameter, value, dependency, and header) to identify dependencies of operations and generate operation sequences, parameter combinations, and values. Through an intuitive command-line interface, users can easily configure and monitor tests with successful operation count, unique server errors detected, and time elapsed. Upon completion, AutoRestTest generates a detailed report highlighting errors detected and operations exercised. In this paper, we introduce our tool and present preliminary findings, with a demonstration video available at https://www.youtube.com/watch?v=VVus2W8rap8. © 2025 IEEE.","Automated REST API Testing; Multi Agent Reinforcement Learning for Testing","Application programming interfaces (API); Error detection; Fault detection; Intelligent agents; Machine learning; Semantics; Web services; Automated REST API testing; Comprehensive testing; Dependency graphs; Language model; Model agents; Multi agent reinforcement learning for testing; Multi-agent reinforcement learning; Operation parameters; Semantic properties; Webs services; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-105008493507"
"Chowa S.S.; Alvi R.; Rahman S.S.; Rahman M.A.; Raiaan M.A.K.; Islam M.R.; Hussain M.; Azam S.","Chowa, Sadia Sultana (59496300600); Alvi, Riasad (60115376600); Rahman, Subhey Sadi (60118030200); Rahman, Md Abdur (58832789500); Raiaan, Mohaimenul Azam Khan (58193535900); Islam, Md Rafiqul (57713922300); Hussain, Mukhtar (60122049900); Azam, Sami (54894635100)","59496300600; 60115376600; 60118030200; 58832789500; 58193535900; 57713922300; 60122049900; 54894635100","From language to action: a review of large language models as autonomous agents and tool users","2026","Artificial Intelligence Review","59","2","71","","","1","10.1007/s10462-025-11471-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027949312&doi=10.1007%2Fs10462-025-11471-9&partnerID=40&md5=d979a3174f33b27b8c5b365b59acdba9","The pursuit of human-level artificial intelligence (AI) has significantly advanced the development of autonomous agents and Large Language Models (LLMs). LLMs are now widely utilized as decision-making agents for their ability to interpret instructions, manage sequential tasks, and adapt through feedback. This review examines recent developments in employing LLMs as autonomous agents and tool users and comprises seven research questions. We only used the papers published between 2023 and 2025 in conferences of the A* and A-ranked and Q1 journals. A structured analysis of the LLM agents’ architectural design principles, dividing their applications into single-agent and multi-agent systems, and strategies for integrating external tools is presented. In addition, the cognitive mechanisms of LLMs, including reasoning, planning, and memory, and the impact of prompting methods and fine-tuning procedures on agent performance are also investigated. Furthermore, we have evaluated current benchmarks and assessment protocols and provided an analysis of 68 publicly available datasets to assess the performance of LLM-based agents in various tasks. In conducting this review, we have identified critical findings on verifiable reasoning of LLMs, the capacity for self-improvement, and the personalization of LLM-based agents. Finally, we have discussed ten future research directions to overcome these gaps. © The Author(s) 2026.","Evaluation; Generative AI; Large language models; Multi-agents; Reasoning","Architectural design; Autonomous agents; Benchmarking; Computational methods; Decision making; Intelligent agents; Decision making agents; Evaluation; Generative artificial intelligence; Human levels; Language model; Large language model; Model-based OPC; Multi agent; Reasoning; Sequential task; Multi agent systems","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105027949312"
"Xue M.; Xiao X.; Liu Y.; Wilson M.","Xue, Mingfeng (57195288655); Xiao, Xingyao (58461592400); Liu, Yunting (59246017600); Wilson, Mark (55547134983)","57195288655; 58461592400; 59246017600; 55547134983","On the Consistency of Automatic Scoring with Large Language Models","2026","Educational and Psychological Measurement","","","","","","0","10.1177/00131644261418138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030234957&doi=10.1177%2F00131644261418138&partnerID=40&md5=8fe5f3bf378c99197b33fe4c42408517","Large language models (LLMs) have shown great potential in automatic scoring. However, due to model characteristics and variation in training materials and pipelines, scoring inconsistency can exist within an LLM and across LLMs when rating the same response multiple times. This study investigates the intra-LLM and inter-LLM consistency in scoring with five LLMs (i.e., Claude, DeepSeek, Gemini, GPT, and Qwen), variability under different temperatures, and their relationship with scoring accuracy. Moreover, a voting strategy that assembles information from different LLMs was proposed to address inconsistent scoring. Using constructed-response items from a science education assessment and open-source data from the Automated Student Assessment Prize (ASAP), we find that: (a) LLMs generally exhibited almost perfect intra-LLM consistency regardless of temperature; (b) inter-LLM consistency was moderate, with higher agreement observed for items that were easier to score; (c) intra-LLM consistency consistently exceeded inter-LLM consistency, supporting the expectation that within-model consistency represents an upper bound for cross-model agreement; (d) intra-LLM consistency was not associated with scoring accuracy, whereas inter-LLM consistency showed a strong positive relationship with accuracy; and (e) majority voting across LLMs improved scoring accuracy by leveraging complementary strengths of different models. © The Author(s) 2026","automatic scoring; inter-rater consistency; large language model; reliability; scoring consistency","","Article","Article in press","All Open Access; Green Open Access","Scopus","2-s2.0-105030234957"
"Han P.; Chen Y.; Wang J.","Han, Peng (60207962700); Chen, Yuan (55721109300); Wang, Junjie (37036636700)","60207962700; 55721109300; 37036636700","TriGen: A Semantic-Feedback Collaborative LLM Test Case Generation Model","2025","IEEE Access","13","","","209556","209574","0","10.1109/ACCESS.2025.3635218","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022685432&doi=10.1109%2FACCESS.2025.3635218&partnerID=40&md5=c89f026600b3ce8a63d5a3266795d509","Regarding the problems of semantic understanding bias and uncontrollable generation in the generation of test cases driven by natural language requirements, this paper proposes TriGen - a controllable and traceable test case generation model for Chinese requirements. To break through the limitations of end-to-end opaque generation, TriGen is based on DeepSeek-7B and adopts a modular decoupling architecture, dividing the generation process into five stages: semantic enhancement, test type mapping, test procedure generation, step-by-step feedback optimization, and structured output. It realizes the explicit modeling of the generation logic and process tracing. Through efficient parameter fine-tuning of DeepSeek-7B using LoRA, the aim is to adapt to the multi-stage generation mechanism of TriGen, clarify the semantic goals and output formats of each stage, and achieve model specialization adaptation in low-resource environments. Further, a multi-dimensional closed-loop feedback mechanism is introduced to support local correction and quality iteration. To support research in Chinese scenarios, a high-quality Chinese software requirement dataset containing 2120 labeled samples is constructed, covering scenarios such as functional descriptions and interaction logic. Experimental results show that TriGen significantly outperforms the baseline method in both automatic evaluation and human evaluation. The semantic-level precision, recall, and F1 score reach 0.825, 0.819, and 0.801 respectively, with an hallucination rate controlled at 0.183, and the human rating is 0.94. It provides an interpretable, iterative, and deployable technical path for the automatic generation of test cases in Chinese requirements. © 2013 IEEE.","closed-loop feedback optimization; large language model; model training; natural language requirement understanding; semantics extraction; Software testing automation","Automation; Computer aided software engineering; Feedback; Iterative methods; Labeled data; Model checking; Quality control; Requirements engineering; Semantics; Software quality; Closed-loop feedback; Closed-loop feedback optimization; Feedback optimization; Language model; Large language model; Model training; Natural language requirement understanding; Natural language requirements; Semantics extractions; Software testing automation; Software testings; Testing automation; Software testing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022685432"
"Tomic S.; Alegroth E.; Isaac M.","Tomic, Stevan (57204163903); Alegroth, Emil (55843479600); Isaac, Maycel (57545825900)","57204163903; 55843479600; 57545825900","Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation","2025","2025 IEEE Conference on Software Testing, Verification and Validation, ICST 2025","","","","487","497","1","10.1109/ICST62969.2025.10989038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007519090&doi=10.1109%2FICST62969.2025.10989038&partnerID=40&md5=a9c1278607d06e5157ef49503bf355f4","Automated testing, particularly for GUI-based systems, remains a costly and labor-intensive process and prone to errors. Despite advancements in automation, manual testing still dominates in industrial practice, resulting in delays, higher costs, and increased error rates. Large Language Models (LLMs) have shown great potential to automate tasks traditionally requiring human intervention, leveraging their cognitive-like abilities for test generation and evaluation. In this study, we present PathFinder, a Multi-Agent LLM (MALLM) framework that incorporates four agents responsible for (a) perception and summarization, (b) decision-making, (c) input handling and extraction, and (d) validation, which work collaboratively to automate exploratory web-based GUI testing. The goal of this study is to assess how different LLMs, applied to different agents, affect the efficacy of automated exploratory GUI testing. We evaluate PathFinder with three models, Mistral-Nemo, Gemma2, and Llama3.1, on four e-commerce websites. Thus, 27 permutations of the LLMs, across three agents (excluding the validation agent), to test the hypothesis that a solution with multiple agents, each using different LLMs, is more efficacious (efficient and effective) than a multi-agent solution where all agents use the same LLM. The results indicate that the choice of LLM constellation (combination of LLMs) significantly impacts efficacy, suggesting that a single LLM across agents may yield the best balance of efficacy (measured by F1-score). Hypothesis to explain this result include, but are not limited to: improved decision-making consistency and reduced task coordination discrepancies. The contributions of this study are an architecture for MALLM-based GUI testing, empirical results on its performance, and novel insights into how LLM selection impacts the efficacy of automated testing. © 2025 IEEE.","AI-Assisted Software Testing; Automated Testing; Large Language Models (LLMs); MALLM; Multi-Agent Systems","Ability testing; Autonomous agents; C (programming language); Intelligent agents; Model checking; Software testing; AI-assisted software testing; Automated testing; GUI testing; Language model; Large language model; Multi agent; Multi-agent LLM; Multiagent systems (MASs); Software testings; Test generations; Automatic test pattern generation","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105007519090"
"Lu K.; Xu S.; Li J.; Ding K.; Meng G.","Lu, Kai (60118035900); Xu, Shixiong (57894910400); Li, Jinqiu (57913476100); Ding, Kun (57205132565); Meng, Gaofeng (16317032400)","60118035900; 57894910400; 57913476100; 57205132565; 16317032400","Agent Reviewers: Domain-specific Multimodal Agents with Shared Memory for Paper Review","2025","Proceedings of Machine Learning Research","267","","","40803","40830","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023824378&partnerID=40&md5=80fd6995083eea292c0499bc03b1dac0","Feedback from peer review is essential to improve the quality of scientific articles. However, at present, many manuscripts do not receive sufficient external feedback for refinement before or during submission. Therefore, a system capable of providing detailed and professional feedback is crucial for enhancing research efficiency. In this paper, we have compiled the largest dataset of paper reviews to date by collecting historical open-access papers and their corresponding review comments and standardizing them using LLM. We then developed a multi-agent system that mimics real human review processes, based on LLMs. This system, named Agent Reviewers, includes the innovative introduction of multimodal reviewers to provide feedback on the visual elements of papers. Additionally, a shared memory pool that stores historical papers’ metadata is preserved, which supplies reviewer agents with background knowledge from different fields. Our system is evaluated using ICLR 2024 papers and achieves superior performance compared to existing AI-based review systems. Comprehensive ablation studies further demonstrate the effectiveness of each module and agent in this system. Our code and data are available at https://github. com/AReviewers/AgentReviewers. © 2025, by the authors.","","Agents; Feedback; Information systems; Memory architecture; Paper; Reviews; Domain specific; Large datasets; Multi-modal agent; Multiagent systems (MASs); OpenAccess; Peer review; Research efficiency; Review process; Scientific articles; Shared memory; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-105023824378"
"Ji Y.; Li Y.; Li R.; Hao X.; Yu D.; Chen Y.","Ji, Yubo (59385062800); Li, Yue (57210916944); Li, Ruixin (60242739800); Hao, Xiaoyan (58151195500); Yu, Dan (57202887187); Chen, Yongle (36647364100)","59385062800; 57210916944; 60242739800; 58151195500; 57202887187; 36647364100","SCGen-Agent: Automated Generation of Smart Contract Based on Multi-agent Collaboration","2025","Proceedings - 2025 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery, CyberC 2025","","","","50","57","0","10.1109/CyberC66434.2025.00017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025005307&doi=10.1109%2FCyberC66434.2025.00017&partnerID=40&md5=1b34c3636117b7c121c25354acfd6800","To address the issues of inefficiency and high debugging costs in smart contract development, this paper proposes a multi-agent collaborative solution based on large language models (LLMs). In this approach, agents collaborate to accomplish tasks such as smart contract generation, auditing, and repair. First, an efficient fine-tuning method is employed to optimize the code generation model. Second, retrieval-augmented generation technology is utilized to provide vulnerability context knowledge for code repair. Finally, a feedback-driven multi-agent collaboration framework is designed to enhance code generation quality through agent-to-agent feedback. During the code repair phase, semantic prompts derived from control flow graphs guide the LLM in contract repair. Experimental results demonstrate that the multi-agent architecture significantly enhances the capabilities of smart contract generation and auditing. By leveraging knowledge of vulnerabilities and external tools, the approach improves the LLM's understanding of smart contract structures. Compared to a single LLM approach, the generated code shows significant improvements in CodeBLEU scores, compilation pass rates, and vulnerability rates.  © 2025 IEEE.","Agent; Blockchain technology; Large Language Model; Multi-agent system; Smart contract","Blockchain; Codes (symbols); Data flow analysis; Distributed computer systems; Feedback; Graphic methods; Intelligent agents; Multi agent systems; Program debugging; Repair; Smart contract; Agent collaboration; Automated generation; Block-chain; Blockchain technology; Codegeneration; Debugging costs; Language model; Large language model; Multi agent; Multiagent systems (MASs); Agents","Conference paper","Final","","Scopus","2-s2.0-105025005307"
"Taromirad M.; Runeson P.","Taromirad, Masoumeh (24328965600); Runeson, Per (57202664772)","24328965600; 57202664772","Assertions in software testing: survey, landscape, and trends","2025","International Journal on Software Tools for Technology Transfer","27","1","107565","117","135","1","10.1007/s10009-025-00794-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005259061&doi=10.1007%2Fs10009-025-00794-1&partnerID=40&md5=ac56e751fbf3805120a28734c5953035","Assertions are one of the most useful automated techniques for checking program’s behaviour and hence have been used for different verification and validation tasks. We provide an overview of the last two decades of research involving “assertions” in software testing. Based on a term-based search, we filtered the inclusion of relevant papers and synthesised them with respect to the problem addressed, the solution designed, and the evaluation conducted. The survey rendered 145 papers on assertions in software testing. After test oracle, the dominant problem is test generation, followed by engineering aspects of assertions. Solutions are typically embedded in tool prototypes and evaluated throughout a limited number of cases, whereas using large-scale industrial settings is still a noticeable method. We conclude that assertions would be worth more attention in future research, particularly regarding the new and emerging demands (e.g., verification of programs with uncertainty), for effective, applicable, and domain-specific solutions. © The Author(s) 2025.","Assertions; Literature survey; Testing","Automatic test pattern generation; Behavioral research; Industrial research; Verification; Assertion; Automated techniques; Engineering aspects; Large-scales; Literature survey; Software testings; Synthesised; Test generations; Test oracles; Verification-and-validation; Software testing","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105005259061"
"Kerr G.; Vaidya A.; Vankayalapati M.K.; Chan J.; Ibraimoski S.; Chakrabarti B.; Moran S.","Kerr, Gregor (58537973300); Vaidya, Amal (59636749400); Vankayalapati, Mohan Krishna (60004728700); Chan, Jacky (60004728800); Ibraimoski, Senad (57938930800); Chakrabarti, Bismayan (59640230700); Moran, Sean (57219586975)","58537973300; 59636749400; 60004728700; 60004728800; 57938930800; 59640230700; 57219586975","LLMs as Interfaces for a Cloud Migration Assistant","2025","Proceedings - 2025 IEEE/ACM 2nd Workshop on Software Engineering Challenges in Financial Firms, FinanSE 2025","","","","1","6","0","10.1109/FinanSE66659.2025.00005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011073031&doi=10.1109%2FFinanSE66659.2025.00005&partnerID=40&md5=2613add18b2f836ad2229c9b4c144457","We demonstrate the application of a Large Language Model (LLM) as an interface capable of querying information and delivering outputs in various formats. Our focus is on a relevant use case: an LLM-based assistant to accelerate the migration of on-premises applications to the cloud. Taking a query from a user and combining information from internal data sources the tool generates a migration strategy, represented as reference diagrams, and links to relevant documentation. The performance of the tool is tested using a labeled dataset and a user study suggests that our solution can assist inexperienced users in finding the right cloud migration strategy. We also discuss how the method could employ additional user interaction to provide results that are more precisely tailored to each use case.  © 2025 IEEE.","Agentic Workflow; Cloud migration; Large Language Model","User interfaces; Agentic workflow; As interfaces; Cloud migrations; Data-source; Language model; Large language model; Migration strategy; Model-based OPC; Performance; Work-flows; Labeled data","Conference paper","Final","","Scopus","2-s2.0-105011073031"
"Karim M.M.; Khan S.; Qu Q.; Muzammal M.; Sharif K.; Biswas S.","Karim, Md Monjurul (57202681904); Khan, Sangeen (57207218623); Qu, Qiang (57202461736); Muzammal, Muhammad (59300882600); Sharif, Kashif (11440580700); Biswas, Sujit (57188856331)","57202681904; 57207218623; 57202461736; 59300882600; 11440580700; 57188856331","From trust to augmentation: A comprehensive survey on synergistic integration of decentralized and generative intelligence","2026","Computer Science Review","61","","100936","","","0","10.1016/j.cosrev.2026.100936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031617368&doi=10.1016%2Fj.cosrev.2026.100936&partnerID=40&md5=0e54e86f2c9d284860ae33553c9f234f","The integration of artificial intelligence (AI) and decentralization is reshaping application and system design across industry, government, and academia. Existing surveys typically examine blockchain, Web3, or generative models independently, which obscures the cross-layer dependencies that govern verifiability, privacy, coordination, and governance in decentralized systems. This survey bridges that gap by introducing a unified trust-to-augmentation framework that organizes the convergence into four interdependent layers: trust-based execution, privacy-preserving interoperable middleware, collaborative learning mesh, and generative augmentation. Unlike prior work that addresses these domains in isolation or in limited binary pairings, the survey explains how advances in one layer alter the requirements and surfaces of the others and identifies research gaps that arise from the integration of decentralized and generative AI. We map representative systems to the four layers and consolidate a taxonomy of enabling techniques, evaluation metrics, and layer-specific comparison tables to support consistent positioning of novel contributions. The synthesis clarifies how the convergence mitigates key limitations of centralized AI, including opacity and single points of failure. It enables automated governance, intelligent consensus, and adaptive user interfaces that preserve fault tolerance and data sovereignty. The analysis also highlights deployment challenges, including scalability bottlenecks, privacy protection under transparent ledgers, cross-chain interoperability, model interpretability, and incentive alignment. The survey identifies barriers to widespread adoption and provides strategic guidance for researchers, practitioners, and policymakers through analysis of real-world applications and deployment methodologies. © 2026 Elsevier Inc.","Blockchain; Decentralized AI; Generative AI; Large language models; Web3","Artificial intelligence; Decentralized systems; Distributed computer systems; Integration; Interoperability; Middleware; Privacy-preserving techniques; Systems analysis; User interfaces; Block-chain; Decentralisation; Decentralised; Decentralized artificial intelligence; Generative artificial intelligence; Industry government; Language model; Large language model; Synergistic integration; Web3; Fault tolerance","Article","Final","","Scopus","2-s2.0-105031617368"
"Bhavani P.; Danapaquiame N.","Bhavani, P. (60409341100); Danapaquiame, N. (37090616100)","60409341100; 37090616100","A ROBUST FEATURE ENGINEERING ARCHITECTURE INCORPORATING HYBRID SAMPLING AND SEMANTIC-STRUCTURAL CODE AUGMENTATION","2025","Archives for Technical Sciences","3","34","","815","832","0","10.70102/afts.2025.1834.815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030685364&doi=10.70102%2Fafts.2025.1834.815&partnerID=40&md5=227db5983b59508c3485b3dd9bf17cd7","The sophistication of the contemporary code has augmented defect prediction (SDP) with vital concerns like severe imbalance in classes, high redundancy of features and failure of conventional techniques to gain the rich semantic and structural context of a source code. The model suggested within the current paper is HDA-SE-GFF that has Semantic-Enriched Graph Feature Fusion. In order to address the data imbalance, a hybrid sampling method, which is a mixture of SMOTE and Tomek links, is applied to produce synthetic minor samples without duplicating the majority data on the edge of choice. The Stacked Denoising Autoencoders (SDAEs) store deep features so as to achieve noise-invariant features. Meanwhile, code context may be acquired through translating Abstract Syntax trees (ASTs) and Program Dependency graphs (PDGs) to semantic-structural embeddings. The combination of these deep and structure features is with a weighted interpolation factor (or-) and is categorized by a Softmax layer. HDA-SE-GFF was trained in a 5-layer auto-encoder with 256-512 hidden cells, 20 % dropout and a learning rate of 5. The architecture, according to the experimental results of object-oriented software repositories, is much superior to baseline methods in terms of classification accuracy and model robustness. The key lessons learned include that the hybrid sampling approach is an effective method of alleviating the bias of the majority classes and at 80-300 edge-density code behavior, the combined representation of AST and PDG embedding. HDA-SE-GFF model suggests scaling and precise quality assurance procedure into the quality of software, an effective method of bridging the disassociation between the unmanaged process of feature learning and code structural examinations of large-scale systems. © 2025, Technical institute of Bijeljina. All rights reserved.","autoencoders; code semantics; defect prediction; feature engineering; SMOTE; software quality","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105030685364"
"Nooyens R.; Bardakci T.; Beyazıt M.; Demeyer S.","Nooyens, Robbe (59793132900); Bardakci, Tolgahan (59123583300); Beyazıt, Mutlu (36182172500); Demeyer, Serge (6602168026)","59793132900; 59123583300; 36182172500; 6602168026","Test Amplification for REST APIs via Single and Multi-agent LLM Systems","2026","Lecture Notes in Computer Science","16107 LNCS","","","161","177","0","10.1007/978-3-032-05188-2_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016905732&doi=10.1007%2F978-3-032-05188-2_11&partnerID=40&md5=99a684064135afb0a18884b210cdff0c","REST APIs (Representational State Transfer Application Programming Interfaces) play a vital role in modern cloud-native applications. As these APIs grow in complexity and scale, ensuring their correctness and robustness becomes increasingly important. Automated testing is essential for identifying hidden bugs, particularly those that appear in edge cases or under unexpected inputs. However, creating comprehensive and effective test suites for REST APIs is challenging and often demands significant effort. In this paper, we investigate the use of large language model (LLM) systems—both single-agent and multi-agent setups—for amplifying existing REST API test suites. These systems generate additional test cases that aim to push the boundaries of the API, uncovering behaviors that might otherwise go untested. We present a comparative evaluation of the two approaches across several dimensions, including test coverage, bug detection effectiveness, and practical considerations such as computational cost and energy usage. Our evaluation demonstrates increased API coverage, identification of numerous bugs in the API under test, and insights into the computational cost and energy consumption of both approaches. © IFIP International Federation for Information Processing 2026.","Agentic systems; Large language models; Software testing; Test amplification","Amplification; Application programming interfaces (API); Intelligent agents; Interface states; Model checking; Multi agent systems; Agentic system; Computational costs; Language model; Large language model; Modelling systems; Multi agent; Representational state transfer; Single-agent; Software testings; Test amplifications; Software testing","Conference paper","Final","","Scopus","2-s2.0-105016905732"
"Li Y.; Wang Z.; Kang Z.; Yu D.; Wang J.","Li, Yuhong (60000569600); Wang, Ze (58348916900); Kang, Zhiqiang (60242742700); Yu, Dan (57202887187); Wang, Jianhua (57271380800)","60000569600; 58348916900; 60242742700; 57202887187; 57271380800","LD-CIPHER: An LLM Multi-agent Framework for Lightweight Autonomous Solutions to CTF Challenges","2025","Proceedings - 2025 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery, CyberC 2025","","","","217","226","0","10.1109/CyberC66434.2025.00040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025052370&doi=10.1109%2FCyberC66434.2025.00040&partnerID=40&md5=94770da5cb0e94adb5a8f56e610e011f","Recent advancements in Large Language Models (LLMs) have driven significant progress in cybersecurity applications, particularly in automating Capture the Flag (CTF) challenge-solving. We present LD-CIPHER, a multi-agent LLM framework for collaborative CTF challenge solving. LD-CIPHER introduces Planner-Executor agent system, consisting of a Planner agent that divides a large task into several small tasks and multiple heterogeneous Executor agents that receives information from the small tasks and solves them. Additionally, LD-CIPHER incorporates the scoring system, which improves problem-solving by generating several sub-plans and selecting the best sub-plan to generate a higher-quality prompt. We evaluate LD-CIPHER on CTF benchmarks using multiple LLM models and conduct comprehensive studies to highlight the impact of our enhancements. Our results demonstrate that the multi-agent LD-CIPHER system achieves a significant improvement in challenges solved, setting a state-of-the-art performance on one benchmark: 18.0% and 0.09$ cost on NYU CTF Bench.  © 2025 IEEE.","Large Language Models; Multi-Agent Systems; Offensive Security","Autonomous agents; Benchmarking; Cybersecurity; Distributed computer systems; Intelligent agents; Problem solving; Capture the flag; Cyber security; Language model; Large language model; Modelling framework; Multi agent; Multiagent framework; Multiagent systems (MASs); Offensive security; Sub-plans; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-105025052370"
"Ashrafi N.; Bouktif S.; Mediani M.","Ashrafi, Nazmus (59908809300); Bouktif, Salah (7801624534); Mediani, Mohammed (56330823300)","59908809300; 7801624534; 56330823300","Enhancing LLM Code Generation: A Systematic Evaluation of Multi-Agent Collaboration and Runtime Debugging for Accuracy, Reliability, and Latency","2025","19th IEEE International Conference on Application of Information and Communication Technologies, AICT 2025 - Conference Proceedings","","","","","","0","10.1109/AICT67988.2025.11268754","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030483442&doi=10.1109%2FAICT67988.2025.11268754&partnerID=40&md5=627f6abaead08ad4f143bc34c5f84f6c","Large language models (LLMs) have shown promising code generation capabilities; however, they still face challenges in generating successful code for non-trivial programming tasks. To enhance the LLM’s code generation abilities, we investigate, in this paper, the combination of two complementary inference-time strategies: multi-agent collaboration and runtime execution-based debugging. We conduct an extensive empirical study to evaluate our proposed framework using 19 diverse LLMs on two established coding benchmarks, measuring functional accuracy as a code quality characteristic. Our study reveals that that our combination outperforms the basic performance of LLMs and the individual approaches. In particlular, on HumanEval benchmark, across 19 LLMs, our approach achieves 64.82% accuracy compared to 56.48% achieved by the basic one-shot prompting approach. It also outperforms the individual multi-agent collaboration approach by more than 7.66%. Moreover, our extensive empirical study revealed that optimal combinatory improvement is achieved when both individual strategies perform at similar levels. The proposed framework can be readily deployed in existing development pipelines to enhance the reliability of code generation while maintaining reasonable generation speeds, offering a practical solution to improve automated code generation in enterprise environments. © 2025 IEEE.","AI-Driven Software Development; Code Reliability; LLM Enhancement; Multi-Agent Systems; Program Synthesis; Runtime Debugging","Automatic programming; Benchmarking; Codes (symbols); Computer programming languages; Computer systems programming; Functional programming; Intelligent agents; Mathematical programming; Optimal systems; Program compilers; Program debugging; Software design; Software reliability; AI-driven software development; Code reliability; Codegeneration; Language model; Large language model enhancement; Multi agent; Multiagent systems (MASs); Program synthesis; Runtime debugging; Runtimes; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-105030483442"
"Nishith P.; Ratnam S.A.; Bhaskaran S.","Nishith, P. (60022435900); Ratnam, S Ajay (59730473000); Bhaskaran, Sreebha (57193136343)","60022435900; 59730473000; 57193136343","Comprehensive Study on Integrating AI-Powered Threat Intelligence Using Large Language Models","2025","2025 3rd International Conference on Communication, Security, and Artificial Intelligence, ICCSAI 2025","","","","2141","2146","0","10.1109/ICCSAI64074.2025.11063731","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012111569&doi=10.1109%2FICCSAI64074.2025.11063731&partnerID=40&md5=0ec7b8043470ba4929b72c5dbf36ce97","This paper presents a comprehensive analysis of algorithmic efficiency within automated testing tools, with a particular emphasis on integrating AI-powered threat intelligence through Large Language Models (LLMs) for enhanced penetration testing. The investigation focuses on measuring the time complexity, resource utilization, and various performance metrics of these tools. We extend our analysis to explore how LLMs and multi-agent systems can augment dynamic and static analysis during Automated Penetration Testing (APT). We rigorously quantify the performance of both in-house developed tools and existing automation frameworks, especially those that leverage LLMs. The primary goal is to evaluate the strengths and weaknesses of the algorithm by comparing the performance of the tool, analyzing the underlying algorithms, and evaluating critical aspects such as scalability, resource management, and optimization strategies to improve real-world applications, particularly in cybersecurity.  © 2025 IEEE.","Automated PenTesting; Cyber Security; Docker; Large Language Models; Optimized Routing","Automation; Cybersecurity; Integration testing; Intelligent agents; Network security; Algorithmic efficiencies; Automated pentesting; Comprehensive analysis; Cyber security; Docker; Language model; Large language model; Optimized routing; Penetration testing; Performance; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-105012111569"
